<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2023.01.13	01:00:00	1.08486	1.08600	1.08468	1.08596	1672	0	0
2023.01.13	02:00:00	1.08597	1.08679	1.08512	1.08522	2979	0	0
2023.01.13	03:00:00	1.08524	1.08562	1.08457	1.08557	3685	0	0
2023.01.13	04:00:00	1.08557	1.08562	1.08316	1.08448	4011	0	0
2023.01.13	05:00:00	1.08448	1.08477	1.08415	1.08456	1915	0	0
2023.01.13	06:00:00	1.08457	1.08463	1.08378	1.08401	1702	0	0
2023.01.13	07:00:00	1.08401	1.08434	1.08317	1.08371	1903	0	0
2023.01.13	08:00:00	1.08372	1.08510	1.08339	1.08451	2856	0	0
2023.01.13	09:00:00	1.08460	1.08489	1.08331	1.08489	4608	0	0
2023.01.13	10:00:00	1.08489	1.08641	1.08373	1.08552	6617	0	0
2023.01.13	11:00:00	1.08553	1.08602	1.08332	1.08425	4821	0	0
2023.01.13	12:00:00	1.08425	1.08517	1.08372	1.08451	3652	0	0
2023.01.13	13:00:00	1.08451	1.08457	1.08081	1.08120	4837	0	0
2023.01.13	14:00:00	1.08120	1.08159	1.08033	1.08119	4665	0	0
2023.01.13	15:00:00	1.08119	1.08202	1.07926	1.07937	6220	0	0
2023.01.13	16:00:00	1.07938	1.08200	1.07805	1.08184	7082	0	0
2023.01.13	17:00:00	1.08156	1.08386	1.08122	1.08294	8115	0	0
2023.01.13	18:00:00	1.08293	1.08335	1.08010	1.08100	5448	0	0
2023.01.13	19:00:00	1.08100	1.08316	1.08065	1.08280	3700	0	0
2023.01.13	20:00:00	1.08281	1.08342	1.08181	1.08311	2552	0	0
2023.01.13	21:00:00	1.08311	1.08352	1.08267	1.08291	1991	0	0
2023.01.13	22:00:00	1.08293	1.08357	1.08270	1.08325	1929	0	0
2023.01.13	23:00:00	1.08327	1.08343	1.08287	1.08320	1116	0	0
2023.01.16	00:00:00	1.08295	1.08350	1.08280	1.08304	724	0	12
2023.01.16	01:00:00	1.08301	1.08344	1.08200	1.08225	3340	0	0
2023.01.16	02:00:00	1.08226	1.08442	1.08211	1.08416	2534	0	0
2023.01.16	03:00:00	1.08415	1.08721	1.08405	1.08680	3684	0	0
2023.01.16	04:00:00	1.08680	1.08742	1.08656	1.08667	3232	0	0
2023.01.16	05:00:00	1.08667	1.08674	1.08593	1.08602	1665	0	0
2023.01.16	06:00:00	1.08599	1.08640	1.08508	1.08529	1574	0	0
2023.01.16	07:00:00	1.08531	1.08610	1.08523	1.08604	1812	0	0
2023.01.16	08:00:00	1.08604	1.08605	1.08359	1.08394	2485	0	0
2023.01.16	09:00:00	1.08394	1.08423	1.08266	1.08311	3544	0	0
2023.01.16	10:00:00	1.08305	1.08321	1.08024	1.08034	5565	0	0
2023.01.16	11:00:00	1.08034	1.08242	1.08015	1.08210	3703	0	0
2023.01.16	12:00:00	1.08210	1.08335	1.08207	1.08301	3031	0	0
2023.01.16	13:00:00	1.08302	1.08365	1.08238	1.08269	2908	0	0
2023.01.16	14:00:00	1.08263	1.08284	1.08145	1.08152	2951	0	0
2023.01.16	15:00:00	1.08151	1.08201	1.08059	1.08158	3576	0	0
2023.01.16	16:00:00	1.08157	1.08255	1.08139	1.08219	3331	0	0
2023.01.16	17:00:00	1.08218	1.08291	1.08163	1.08251	2738	0	0
2023.01.16	18:00:00	1.08253	1.08263	1.08173	1.08247	2221	0	0
2023.01.16	19:00:00	1.08246	1.08266	1.08117	1.08137	1276	0	0
2023.01.16	20:00:00	1.08137	1.08148	1.08108	1.08129	543	0	0
2023.01.16	21:00:00	1.08129	1.08194	1.08125	1.08194	424	0	0
2023.01.16	22:00:00	1.08195	1.08206	1.08175	1.08205	402	0	0
2023.01.16	23:00:00	1.08203	1.08245	1.08188	1.08212	937	0	0
2023.01.17	00:00:00	1.08200	1.08227	1.08160	1.08225	2815	0	5
2023.01.17	01:00:00	1.08241	1.08323	1.08220	1.08297	1605	0	0
2023.01.17	02:00:00	1.08297	1.08337	1.08255	1.08287	1533	0	0
2023.01.17	03:00:00	1.08286	1.08316	1.08141	1.08172	3045	0	0
2023.01.17	04:00:00	1.08171	1.08328	1.08062	1.08142	3099	0	0
2023.01.17	05:00:00	1.08142	1.08285	1.08136	1.08251	1876	0	0
2023.01.17	06:00:00	1.08251	1.08288	1.08220	1.08262	1168	0	0
2023.01.17	07:00:00	1.08259	1.08323	1.08219	1.08310	1516	0	0
2023.01.17	08:00:00	1.08310	1.08355	1.08135	1.08148	2350	0	0
2023.01.17	09:00:00	1.08146	1.08297	1.08120	1.08281	4459	0	0
2023.01.17	10:00:00	1.08281	1.08386	1.08230	1.08274	4840	0	0
2023.01.17	11:00:00	1.08272	1.08310	1.08109	1.08175	4097	0	0
2023.01.17	12:00:00	1.08175	1.08274	1.08090	1.08215	4578	0	0
2023.01.17	13:00:00	1.08215	1.08338	1.08134	1.08323	4098	0	0
2023.01.17	14:00:00	1.08327	1.08576	1.08223	1.08526	5123	0	0
2023.01.17	15:00:00	1.08520	1.08581	1.08362	1.08426	6688	0	0
2023.01.17	16:00:00	1.08426	1.08694	1.08423	1.08630	7537	0	0
2023.01.17	17:00:00	1.08632	1.08638	1.07950	1.08018	10805	0	0
2023.01.17	18:00:00	1.08018	1.08091	1.07861	1.07927	6152	0	0
2023.01.17	19:00:00	1.07928	1.07985	1.07744	1.07822	3315	0	0
2023.01.17	20:00:00	1.07822	1.07964	1.07798	1.07951	2231	0	0
2023.01.17	21:00:00	1.07951	1.08038	1.07913	1.07934	2826	0	0
2023.01.17	22:00:00	1.07934	1.07970	1.07867	1.07936	2390	0	0
2023.01.17	23:00:00	1.07936	1.07938	1.07875	1.07879	1046	0	0
2023.01.18	00:00:00	1.07882	1.07933	1.07857	1.07903	1050	0	11
2023.01.18	01:00:00	1.07907	1.07933	1.07855	1.07895	1135	0	0
2023.01.18	02:00:00	1.07894	1.07916	1.07824	1.07843	2005	0	0
2023.01.18	03:00:00	1.07844	1.07962	1.07832	1.07962	2505	0	0
2023.01.18	04:00:00	1.07962	1.07993	1.07662	1.07873	5884	0	0
2023.01.18	05:00:00	1.07878	1.07892	1.07684	1.07731	5657	0	0
2023.01.18	06:00:00	1.07731	1.07777	1.07673	1.07746	3219	0	0
2023.01.18	07:00:00	1.07745	1.07801	1.07679	1.07796	3267	0	0
2023.01.18	08:00:00	1.07796	1.07909	1.07795	1.07897	4630	0	0
2023.01.18	09:00:00	1.07901	1.08366	1.07898	1.08254	7597	0	0
2023.01.18	10:00:00	1.08256	1.08513	1.08253	1.08432	6580	0	0
2023.01.18	11:00:00	1.08432	1.08716	1.08371	1.08701	5232	0	0
2023.01.18	12:00:00	1.08700	1.08702	1.08497	1.08526	4512	0	0
2023.01.18	13:00:00	1.08527	1.08542	1.08115	1.08151	4466	0	0
2023.01.18	14:00:00	1.08152	1.08338	1.08150	1.08238	4211	0	0
2023.01.18	15:00:00	1.08240	1.08679	1.08223	1.08583	8343	0	0
2023.01.18	16:00:00	1.08582	1.08874	1.08478	1.08640	10404	0	0
2023.01.18	17:00:00	1.08640	1.08687	1.08269	1.08333	8838	0	0
2023.01.18	18:00:00	1.08334	1.08356	1.08136	1.08267	6100	0	0
2023.01.18	19:00:00	1.08271	1.08278	1.07872	1.07959	5588	0	0
2023.01.18	20:00:00	1.07964	1.07991	1.07868	1.07965	4375	0	0
2023.01.18	21:00:00	1.07966	1.07967	1.07872	1.07951	3075	0	0
2023.01.18	22:00:00	1.07951	1.07951	1.07875	1.07891	3317	0	0
2023.01.18	23:00:00	1.07898	1.07972	1.07891	1.07939	1281	0	0
2023.01.19	00:00:00	1.07895	1.07934	1.07883	1.07916	558	0	1
2023.01.19	01:00:00	1.07921	1.07981	1.07905	1.07975	1322	0	0
2023.01.19	02:00:00	1.07977	1.07983	1.07863	1.07873	3045	0	0
2023.01.19	03:00:00	1.07873	1.07956	1.07826	1.07879	2855	0	0
2023.01.19	04:00:00	1.07881	1.07946	1.07823	1.07936	1996	0	0
2023.01.19	05:00:00	1.07935	1.08056	1.07925	1.08005	2017	0	0
2023.01.19	06:00:00	1.08005	1.08021	1.07931	1.07958	1952	0	0
2023.01.19	07:00:00	1.07958	1.07982	1.07912	1.07915	2204	0	0
2023.01.19	08:00:00	1.07916	1.08033	1.07909	1.07911	2255	0	0
2023.01.19	09:00:00	1.07913	1.08140	1.07824	1.08079	4890	0	0
2023.01.19	10:00:00	1.08084	1.08249	1.08034	1.08169	5109	0	0
2023.01.19	11:00:00	1.08169	1.08294	1.08160	1.08248	3899	0	0
2023.01.19	12:00:00	1.08249	1.08383	1.08157	1.08290	4356	0	0
2023.01.19	13:00:00	1.08290	1.08347	1.08161	1.08218	3929	0	0
2023.01.19	14:00:00	1.08218	1.08270	1.08050	1.08091	4351	0	0
2023.01.19	15:00:00	1.08091	1.08228	1.07957	1.08096	8038	0	0
2023.01.19	16:00:00	1.08095	1.08250	1.07954	1.08103	7495	0	0
2023.01.19	17:00:00	1.08104	1.08190	1.07838	1.07892	6978	0	0
2023.01.19	18:00:00	1.07892	1.08095	1.07873	1.08091	4217	0	0
2023.01.19	19:00:00	1.08088	1.08247	1.08088	1.08163	3896	0	0
2023.01.19	20:00:00	1.08163	1.08349	1.08131	1.08287	4170	0	0
2023.01.19	21:00:00	1.08284	1.08354	1.08211	1.08306	2967	0	0
2023.01.19	22:00:00	1.08306	1.08398	1.08279	1.08291	3121	0	0
2023.01.19	23:00:00	1.08293	1.08347	1.08280	1.08305	1414	0	0
